,title,img_url,details,discount_percentage
10,"CAMPUS, Asian & More",https://rukminim1.flixcart.com/image/150/150/xif0q/shoe/e/i/6/9-chrome-01-asian-slate-blue-original-imaggaz5rffd5den.jpeg?q=70,Sports Shoes & Sneakers,Under ₹899
11,PUMA. ADIDAS & More,https://rukminim1.flixcart.com/image/150/150/xif0q/shoe/x/g/n/-original-imagg7tysbyaymjs.jpeg?q=70,Sneakers & High Tops,Min 50% Off
12,"Puma, ADIDAS, Reebok..",https://rukminim1.flixcart.com/image/150/150/jph83gw0/trouser/w/v/r/m-cv6117black-reebok-original-imafbpdw46c4ctpq.jpeg?q=70,Men's Joggers,Up to 80% Off
13,"Nautica, USPA, Louis Philippe...",https://rukminim1.flixcart.com/image/150/150/xif0q/trouser/s/4/t/32-ntdpsp250003dk-nautica-original-imaggf7pdgy2xkxw.jpeg?q=70,"Printed Shirts,Casual Trousers..",Upto 60% Off
14,Best of Western wear,https://rukminim1.flixcart.com/image/150/150/l4iscy80/dress/y/v/2/s-stylish-dress-zamaisha-original-imagfefaqqjsufmw.jpeg?q=70,"Sassafras, Vero Moda, Levi's",60 - 80% + 10% Off
15,"Nike, Skechers...",https://rukminim1.flixcart.com/image/150/150/xif0q/shoe/k/q/n/-original-imagk26uteyyxufz.jpeg?q=70,Grab or Gone!,Min 50% Off
16,"Provogue, Red Chief...",https://rukminim1.flixcart.com/image/150/150/ki0loy80-0/shoe/1/0/8/prjl7505white-9-provogue-white-original-imafxwngzcvhprew.jpeg?q=70,Men's Casual Shoes & Sandals,Min. 80% Off
17,"Bra, Dresses, Tops,...",https://rukminim1.flixcart.com/image/150/150/l5bd5zk0/bra/k/h/l/lightly-padded-32b-regular-no-regular-s006-orangeochre-susie-original-imaggygrktczzrp9.jpeg?q=70,"NYKD, Dressberry & more",From ₹99
18,"Metronaut, Provogue....",https://rukminim1.flixcart.com/image/150/150/xif0q/shoe/x/6/f/-original-imaggcawbnfhj2sj.jpeg?q=70,Casual Footwear,Under ₹999
19,"Skirts, Jumpsuits, Dresses...",https://rukminim1.flixcart.com/image/150/150/kzx1a4w0/skirt/d/w/f/m-sfskrt3388-sassafras-original-imagbtkyf4zdmtyq.jpeg?q=70,"Roadster, Dressberry...",Upto 80% Off
20,"Ketch, Mast & Harbour...",https://rukminim1.flixcart.com/image/150/150/ku4ezrk0/shirt/t/j/e/xl-sksh-bb110-xl-ma3-fubar-original-imag7baxs7pp5yuq.jpeg?q=70,"Shirts, Trousers..",Min. 65% Off
21,"Roadster, Nautica, Wrogn...",https://rukminim1.flixcart.com/image/150/150/kjiwfbk0-0/sweatshirt/v/l/q/xxl-11953320-hrx-by-hrithik-roshan-original-imafz2sfyhpk6u3y.jpeg?q=70,"T-Shirts, Shirts",65-80% Off
